Gene,Gene Set Name,Category
LOC_Os12g08170,Citrate Cycle (Tca Cycle),KEGG
LOC_Os12g37870,Citrate Cycle (Tca Cycle),KEGG
LOC_Os12g42230,Citrate Cycle (Tca Cycle),KEGG
LOC_Os12g43630,Citrate Cycle (Tca Cycle),KEGG
LOC_Os01g67860,Pentose Phosphate Pathway,KEGG
LOC_Os01g64660,Pentose Phosphate Pathway,KEGG
LOC_Os01g02880,Pentose Phosphate Pathway,KEGG
LOC_Os01g47550,Pentose Phosphate Pathway,KEGG
LOC_Os01g70170,Pentose Phosphate Pathway,KEGG
LOC_Os01g09570,Pentose Phosphate Pathway,KEGG
LOC_Os02g03540,Pentose Phosphate Pathway,KEGG
LOC_Os02g38840,Pentose Phosphate Pathway,KEGG
LOC_Os03g07300,Pentose Phosphate Pathway,KEGG
LOC_Os03g16050,Pentose Phosphate Pathway,KEGG
LOC_Os03g20300,Pentose Phosphate Pathway,KEGG
LOC_Os03g29950,Pentose Phosphate Pathway,KEGG
LOC_Os03g30300,Pentose Phosphate Pathway,KEGG
LOC_Os03g50480,Pentose Phosphate Pathway,KEGG
LOC_Os03g56460,Pentose Phosphate Pathway,KEGG
LOC_Os04g19740,Pentose Phosphate Pathway,KEGG
LOC_Os04g24140,Pentose Phosphate Pathway,KEGG
LOC_Os04g39420,Pentose Phosphate Pathway,KEGG
LOC_Os04g40874,Pentose Phosphate Pathway,KEGG
LOC_Os05g33380,Pentose Phosphate Pathway,KEGG
LOC_Os05g36270,Pentose Phosphate Pathway,KEGG
LOC_Os05g44922,Pentose Phosphate Pathway,KEGG
LOC_Os06g02144,Pentose Phosphate Pathway,KEGG
LOC_Os06g04270,Pentose Phosphate Pathway,KEGG
LOC_Os06g14510,Pentose Phosphate Pathway,KEGG
LOC_Os06g40640,Pentose Phosphate Pathway,KEGG
LOC_Os06g41360,Pentose Phosphate Pathway,KEGG
LOC_Os06g45370,Pentose Phosphate Pathway,KEGG
LOC_Os07g08030,Pentose Phosphate Pathway,KEGG
LOC_Os07g22350,Pentose Phosphate Pathway,KEGG
LOC_Os07g41280,Pentose Phosphate Pathway,KEGG
LOC_Os08g02700,Pentose Phosphate Pathway,KEGG
LOC_Os08g05830,Pentose Phosphate Pathway,KEGG
LOC_Os08g34050,Pentose Phosphate Pathway,KEGG
LOC_Os08g37380,Pentose Phosphate Pathway,KEGG
LOC_Os08g43370,Pentose Phosphate Pathway,KEGG
LOC_Os09g24910,Pentose Phosphate Pathway,KEGG
LOC_Os09g29070,Pentose Phosphate Pathway,KEGG
LOC_Os09g30240,Pentose Phosphate Pathway,KEGG
