ID,ACC
Os.12734.1.S1_at,Os.12734.1.S1_at
Os.12738.1.S1_a_at,Os.12738.1.S1_a_at
Os.12745.1.S1_at,Os.12745.1.S1_at
Os.12749.1.S1_s_at,Os.12749.1.S1_s_at
Os.12760.2.S1_at,Os.12760.2.S1_at
Os.12769.1.S1_at,Os.12769.1.S1_at
Os.12778.1.S1_at,Os.12778.1.S1_at
Os.12779.1.S1_at,Os.12779.1.S1_at
Os.12783.1.S1_at,Os.12783.1.S1_at
Os.12822.1.S1_at,Os.12822.1.S1_at
Os.12825.1.S1_at,Os.12825.1.S1_at
Os.12843.1.S1_at,Os.12843.1.S1_at
Os.12847.1.S1_at,Os.12847.1.S1_at
Os.12865.1.S1_at,Os.12865.1.S1_at
Os.12873.1.S1_at,Os.12873.1.S1_at
Os.12880.1.S1_s_at,Os.12880.1.S1_s_at
Os.12884.1.S1_at,Os.12884.1.S1_at
Os.12914.1.S2_at,Os.12914.1.S2_at
Os.12915.1.S1_at,Os.12915.1.S1_at
Os.12922.1.S1_at,Os.12922.1.S1_at
Os.12927.1.S1_at,Os.12927.1.S1_at
Os.12934.1.S1_at,Os.12934.1.S1_at
Os.12949.1.S1_at,Os.12949.1.S1_at
Os.12952.1.S1_at,Os.12952.1.S1_at
Os.12958.1.S1_s_at,Os.12958.1.S1_s_at
Os.12960.1.S1_at,Os.12960.1.S1_at
Os.12965.1.S1_at,Os.12965.1.S1_at
Os.12966.1.S1_at,Os.12966.1.S1_at
Os.12967.3.S1_at,Os.12967.3.S1_at
Os.12974.1.S1_at,Os.12974.1.S1_at
Os.12978.1.S1_at,Os.12978.1.S1_at
Os.12980.1.S1_at,Os.12980.1.S1_at
Os.12988.1.S1_at,Os.12988.1.S1_at
Os.12995.1.S1_at,Os.12995.1.S1_at
Os.13012.1.S1_at,Os.13012.1.S1_at
Os.13015.1.S1_at,Os.13015.1.S1_at
Os.13018.3.S1_at,Os.13018.3.S1_at
Os.1305.1.S1_at,Os.1305.1.S1_at
Os.13051.1.S1_at,Os.13051.1.S1_at
Os.13081.1.S1_at,Os.13081.1.S1_at
Os.1313.1.S1_at,Os.1313.1.S1_at
Os.13225.1.S2_at,Os.13225.1.S2_at
Os.13246.1.S1_at,Os.13246.1.S1_at
Os.13392.1.S1_at,Os.13392.1.S1_at
Os.13466.1.S1_at,Os.13466.1.S1_at
Os.13468.1.S1_at,Os.13468.1.S1_at
Os.13478.1.S1_at,Os.13478.1.S1_at
Os.13484.1.S1_at,Os.13484.1.S1_at
Os.13498.1.S1_at,Os.13498.1.S1_at
Os.13515.1.S1_at,Os.13515.1.S1_at
Os.13516.1.S1_at,Os.13516.1.S1_at
Os.13536.1.S1_at,Os.13536.1.S1_at
Os.13559.1.S1_at,Os.13559.1.S1_at
Os.13560.1.S1_at,Os.13560.1.S1_at
Os.13586.1.S1_at,Os.13586.1.S1_at
Os.13605.1.S1_at,Os.13605.1.S1_at
Os.13618.1.S1_at,Os.13618.1.S1_at
Os.13737.1.S1_s_at,Os.13737.1.S1_s_at
Os.13745.1.S1_at,Os.13745.1.S1_at
Os.13756.1.S1_s_at,Os.13756.1.S1_s_at
Os.1376.1.S1_at,Os.1376.1.S1_at
Os.13800.1.S1_at,Os.13800.1.S1_at
Os.13835.2.S2_at,Os.13835.2.S2_at
Os.13846.2.S1_at,Os.13846.2.S1_at
Os.13860.1.A1_at,Os.13860.1.A1_at
Os.13866.1.S1_at,Os.13866.1.S1_at
Os.13941.1.S1_s_at,Os.13941.1.S1_s_at
Os.13941.1.S1_x_at,Os.13941.1.S1_x_at
Os.13966.1.S1_at,Os.13966.1.S1_at
Os.13966.1.S1_x_at,Os.13966.1.S1_x_at
Os.13994.1.S1_at,Os.13994.1.S1_at
Os.140.3.S1_x_at,Os.140.3.S1_x_at
Os.14065.2.S1_x_at,Os.14065.2.S1_x_at
Os.14081.1.S1_at,Os.14081.1.S1_at
Os.14100.1.S1_at,Os.14100.1.S1_at
Os.14101.3.S1_at,Os.14101.3.S1_at
Os.14105.1.S1_at,Os.14105.1.S1_at
Os.14125.1.S1_at,Os.14125.1.S1_at
Os.14132.1.S1_at,Os.14132.1.S1_at
Os.14138.1.S1_at,Os.14138.1.S1_at
Os.14153.1.S1_at,Os.14153.1.S1_at
Os.14153.2.S1_x_at,Os.14153.2.S1_x_at
Os.14160.1.S1_at,Os.14160.1.S1_at
Os.14164.1.S1_at,Os.14164.1.S1_at
Os.14173.1.S1_at,Os.14173.1.S1_at
Os.14191.1.S1_at,Os.14191.1.S1_at
Os.14208.1.S1_at,Os.14208.1.S1_at
Os.14216.2.S1_at,Os.14216.2.S1_at
Os.14253.1.S1_s_at,Os.14253.1.S1_s_at
Os.1428.1.S1_at,Os.1428.1.S1_at
Os.14285.1.S1_at,Os.14285.1.S1_at
Os.14294.1.S1_at,Os.14294.1.S1_at
Os.14314.1.S1_at,Os.14314.1.S1_at
Os.14358.1.S1_at,Os.14358.1.S1_at
Os.14358.2.S1_at,Os.14358.2.S1_at
Os.14358.4.S1_x_at,Os.14358.4.S1_x_at
Os.14366.1.S1_s_at,Os.14366.1.S1_s_at
Os.14369.1.A2_at,Os.14369.1.A2_at
Os.14372.1.S1_at,Os.14372.1.S1_at
Os.14380.1.S1_at,Os.14380.1.S1_at
Os.14423.1.S1_at,Os.14423.1.S1_at
Os.14423.1.S1_x_at,Os.14423.1.S1_x_at
Os.14430.1.S1_at,Os.14430.1.S1_at
Os.14457.1.S1_at,Os.14457.1.S1_at
Os.14491.1.S1_a_at,Os.14491.1.S1_a_at
Os.14530.1.S1_at,Os.14530.1.S1_at
Os.14530.2.S1_x_at,Os.14530.2.S1_x_at
Os.14539.1.S1_at,Os.14539.1.S1_at
Os.14585.1.S1_s_at,Os.14585.1.S1_s_at
Os.14593.1.S1_at,Os.14593.1.S1_at
Os.14598.1.S1_at,Os.14598.1.S1_at
Os.14637.1.S1_at,Os.14637.1.S1_at
Os.14656.1.S1_at,Os.14656.1.S1_at
Os.14661.1.S1_at,Os.14661.1.S1_at
Os.14667.1.S1_at,Os.14667.1.S1_at
Os.14745.1.S1_at,Os.14745.1.S1_at
Os.14762.1.S1_x_at,Os.14762.1.S1_x_at
Os.14762.2.S1_s_at,Os.14762.2.S1_s_at
Os.14770.1.S1_at,Os.14770.1.S1_at
Os.1478.1.S1_at,Os.1478.1.S1_at
Os.14835.1.S1_at,Os.14835.1.S1_at
Os.14872.1.S1_at,Os.14872.1.S1_at
Os.14909.1.S1_at,Os.14909.1.S1_at
Os.14920.3.S1_at,Os.14920.3.S1_at
Os.14934.2.S1_at,Os.14934.2.S1_at
Os.14979.1.S1_at,Os.14979.1.S1_at
Os.14979.1.S2_at,Os.14979.1.S2_at
Os.14990.2.S1_at,Os.14990.2.S1_at
Os.15007.1.S1_at,Os.15007.1.S1_at
Os.1501.1.S1_at,Os.1501.1.S1_at
Os.15037.2.S1_at,Os.15037.2.S1_at
Os.15058.2.S1_at,Os.15058.2.S1_at
Os.15059.1.S1_at,Os.15059.1.S1_at
Os.15126.1.S1_at,Os.15126.1.S1_at
Os.15142.2.S1_at,Os.15142.2.S1_at
Os.15198.1.S1_at,Os.15198.1.S1_at
Os.15206.1.S1_at,Os.15206.1.S1_at
Os.1521.1.S2_at,Os.1521.1.S2_at
Os.15250.1.S1_at,Os.15250.1.S1_at
Os.1526.1.S1_at,Os.1526.1.S1_at
Os.15288.1.S1_at,Os.15288.1.S1_at
Os.15298.1.S1_at,Os.15298.1.S1_at
Os.153.1.S1_at,Os.153.1.S1_at
Os.15307.1.S1_at,Os.15307.1.S1_at
Os.15386.1.S1_at,Os.15386.1.S1_at
Os.15391.1.S1_at,Os.15391.1.S1_at
Os.15391.2.S1_at,Os.15391.2.S1_at
Os.15407.1.S1_at,Os.15407.1.S1_at
Os.15413.1.S2_at,Os.15413.1.S2_at
Os.15501.1.S1_at,Os.15501.1.S1_at
Os.15501.2.S1_at,Os.15501.2.S1_at
Os.15565.1.A1_at,Os.15565.1.A1_at
Os.15570.2.S1_at,Os.15570.2.S1_at
Os.15580.1.S1_at,Os.15580.1.S1_at
Os.15597.2.S1_at,Os.15597.2.S1_at
Os.15637.1.S1_s_at,Os.15637.1.S1_s_at
Os.15706.1.S1_a_at,Os.15706.1.S1_a_at
Os.15737.1.S1_x_at,Os.15737.1.S1_x_at
Os.1576.1.S1_at,Os.1576.1.S1_at
Os.15760.1.S1_at,Os.15760.1.S1_at
Os.15769.1.S1_at,Os.15769.1.S1_at
Os.15770.1.S1_x_at,Os.15770.1.S1_x_at
Os.15770.2.S1_at,Os.15770.2.S1_at
Os.15780.1.S1_at,Os.15780.1.S1_at
Os.15789.1.S1_at,Os.15789.1.S1_at
Os.15789.1.S1_x_at,Os.15789.1.S1_x_at
Os.15790.2.S1_at,Os.15790.2.S1_at
Os.15797.1.S1_at,Os.15797.1.S1_at
Os.15798.1.S1_at,Os.15798.1.S1_at
Os.158.1.S1_at,Os.158.1.S1_at
Os.15803.1.S1_at,Os.15803.1.S1_at
Os.15849.1.S1_s_at,Os.15849.1.S1_s_at
Os.15850.1.S1_at,Os.15850.1.S1_at
Os.15874.1.A1_at,Os.15874.1.A1_at
Os.15894.1.A1_a_at,Os.15894.1.A1_a_at
Os.15896.1.S1_at,Os.15896.1.S1_at
Os.159.1.S1_s_at,Os.159.1.S1_s_at
Os.15900.1.A1_at,Os.15900.1.A1_at
Os.15917.2.A1_at,Os.15917.2.A1_at
Os.15937.1.S1_at,Os.15937.1.S1_at
Os.15941.2.S1_x_at,Os.15941.2.S1_x_at
Os.15942.2.S1_a_at,Os.15942.2.S1_a_at
Os.15944.1.S1_a_at,Os.15944.1.S1_a_at
Os.16010.1.S1_at,Os.16010.1.S1_at
Os.16028.1.S1_at,Os.16028.1.S1_at
Os.16030.1.S1_at,Os.16030.1.S1_at
Os.16030.1.S1_x_at,Os.16030.1.S1_x_at
Os.16037.1.S1_at,Os.16037.1.S1_at
Os.16041.1.S1_at,Os.16041.1.S1_at
Os.16042.1.S1_at,Os.16042.1.S1_at
Os.16042.1.S2_at,Os.16042.1.S2_at
Os.16044.1.S1_at,Os.16044.1.S1_at
Os.1606.1.S1_at,Os.1606.1.S1_at
Os.16060.1.A1_at,Os.16060.1.A1_at
